criterion_idx,perturbation,new_main_weights,U_A,U_B,U_C,criterion
0,-0.2,"[0.32000000000000006, 0.2833333333333333, 0.22666666666666668, 0.16999999999999998]",0.8855705438233671,0.5977548051322417,0.24911736006916604,Economic
0,-0.1,"[0.36000000000000004, 0.26666666666666666, 0.21333333333333335, 0.16]",0.8863769911443699,0.5965360204883418,0.24559502034818942,Economic
0,0.0,"[0.4, 0.25, 0.2, 0.15]",0.8871834384653722,0.5953172358444422,0.24207268062721282,Economic
0,0.1,"[0.44000000000000006, 0.2333333333333333, 0.18666666666666665, 0.13999999999999999]",0.8879898857863749,0.5940984512005425,0.23855034090623614,Economic
0,0.2,"[0.48, 0.21666666666666667, 0.17333333333333334, 0.13]",0.8887963331073773,0.5928796665566428,0.23502800118525954,Economic
1,-0.2,"[0.4266666666666667, 0.2, 0.21333333333333335, 0.16]",0.888953067543783,0.5948240278846351,0.2416272905545126,Agronomic
1,-0.1,"[0.41333333333333333, 0.225, 0.20666666666666667, 0.15499999999999997]",0.8880682530045775,0.5950706318645386,0.24184998559086268,Agronomic
1,0.0,"[0.39999999999999997, 0.25, 0.19999999999999998, 0.14999999999999997]",0.8871834384653722,0.5953172358444422,0.2420726806272128,Agronomic
1,0.1,"[0.3866666666666666, 0.275, 0.1933333333333333, 0.14499999999999996]",0.8862986239261667,0.5955638398243457,0.24229537566356285,Agronomic
1,0.2,"[0.3733333333333333, 0.3, 0.18666666666666665, 0.13999999999999996]",0.8854138093869615,0.5958104438042491,0.24251807069991296,Agronomic
2,-0.2,"[0.41999999999999993, 0.26249999999999996, 0.16000000000000003, 0.15749999999999997]",0.8866353348950498,0.5901758221430732,0.2342690391649824,Environmental
2,-0.1,"[0.41, 0.25625, 0.18000000000000002, 0.15374999999999997]",0.886909386680211,0.5927465289937577,0.23817085989609757,Environmental
2,0.0,"[0.4, 0.25, 0.2, 0.15]",0.8871834384653722,0.5953172358444422,0.24207268062721282,Environmental
2,0.1,"[0.39, 0.24375, 0.22000000000000003, 0.14625]",0.8874574902505333,0.5978879426951267,0.245974501358328,Environmental
2,0.2,"[0.38, 0.2375, 0.24, 0.1425]",0.8877315420356947,0.600458649545811,0.2498763220894431,Environmental
3,-0.2,"[0.4141176470588235, 0.2588235294117647, 0.20705882352941174, 0.12]",0.8872763770920227,0.5988707597953489,0.24483756069678625,Logistical
3,-0.1,"[0.40705882352941175, 0.25441176470588234, 0.20352941176470588, 0.135]",0.8872299077786975,0.5970939978198955,0.24345512066199948,Logistical
3,0.0,"[0.39999999999999997, 0.24999999999999997, 0.19999999999999998, 0.15]",0.8871834384653721,0.5953172358444422,0.2420726806272128,Logistical
3,0.1,"[0.3929411764705882, 0.2455882352941176, 0.1964705882352941, 0.165]",0.8871369691520469,0.5935404738689887,0.24069024059242602,Logistical
3,0.2,"[0.3858823529411765, 0.2411764705882353, 0.19294117647058825, 0.18]",0.8870904998387218,0.5917637118935353,0.23930780055763928,Logistical
